"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"158413264112020NS000014";"158413264112019NE800052";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"0,00"
"158413264112020NS000015";"158413264112019NE800190";"33903004";"GAS E OUTROS MATERIAIS ENGARRAFADOS";"0,00";"0,00";"0,00";"0,00"
"158413264112020NS000017";"158413264112019NE800555";"33903001";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"0,00";"0,00";"0,00";"0,00"
"158413264112020NS000017";"158413264112019NE800355";"33903925";"TAXA DE ADMINISTRACAO";"0,00";"0,00";"0,00";"0,00"
"158413264112020NS000083";"158413264112020NE000013";"33904722";"CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA";"203,00";"0,00";"0,00";"0,00"
"158413264112020NS000083";"158413264112019NE800034";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"0,00"
"158413264112020NS000184";"158413264112018NE800282";"33903925";"TAXA DE ADMINISTRACAO";"0,00";"0,00";"0,00";"0,00"
"160341000012020NS000125";"160341000012019NE801447";"33903016";"MATERIAL DE EXPEDIENTE";"0,00";"0,00";"0,00";"0,00"
"160341000012020NS000128";"160341000012019NE802285";"33903016";"MATERIAL DE EXPEDIENTE";"0,00";"0,00";"0,00";"0,00"
"170180000012020NS000055";"170180000012020NE800014";"33903958";"SERVICOS DE TELECOMUNICACOES";"2070,10";"0,00";"0,00";"0,00"
"170325000012020NS000038";"170325000012019NE800024";"33903944";"SERVICOS DE AGUA E ESGOTO";"0,00";"0,00";"0,00";"0,00"
"200350000012020NS000033";"200350000012019NE800195";"33903301";"PASSAGENS PARA O PAIS";"0,00";"0,00";"0,00";"0,00"
"200350000012020NS000033";"200350000012019NE800197";"33903903";"COMISSOES E CORRETAGENS";"0,00";"0,00";"0,00";"0,00"
"200350000012020NS000282";"200350000012019NE800136";"33903916";"MANUTENCAO E CONSERV. DE BENS IMOVEIS";"0,00";"0,00";"0,00";"0,00"
"200350000012020NS000282";"200350000012019NE800137";"33903024";"MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES";"0,00";"0,00";"0,00";"0,00"
"240276000012020NS000006";"240276000012019NE000012";"33903977";"VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO";"0,00";"0,00";"0,00";"0,00"
"323031322052020NS000018";"323031322052019NE801080";"33903958";"SERVICOS DE TELECOMUNICACOES";"0,00";"0,00";"0,00";"0,00"
"373072372012020NS000003";"373072372012019NE800032";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000002";"390079392522019NE800092";"33903958";"SERVICOS DE TELECOMUNICACOES";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000004";"390079392522019NE800095";"33903958";"SERVICOS DE TELECOMUNICACOES";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000006";"390079392522019NE800091";"33903944";"SERVICOS DE AGUA E ESGOTO";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000008";"390079392522019NE800086";"33903944";"SERVICOS DE AGUA E ESGOTO";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000010";"390079392522019NE800074";"33903001";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"0,00";"0,00";"0,00";"0,00"
